Date,BSC Name,Cell Name,TCH Availability Rate,CSSR,CDR
11/14/2020,BSC01,ALAMAL1,100,99.41,0.14
11/14/2020,BSC01,ALAMAL2,100,98.96,0.28
11/14/2020,BSC01,ALAMAL3,100,98.84,0.27
11/14/2020,BSC01,ALBAN1,100,98.97,2.53
11/14/2020,BSC01,ALBAN2,100,96.37,0.77
11/14/2020,BSC01,ALBAN3,100,96.38,1.26
11/14/2020,BSC01,ALTSNE1,100,97.39,0.65
11/14/2020,BSC01,ALTSNE2,100,97.66,0.58
11/14/2020,BSC01,ALTSNE3,100,91.68,1.26
11/14/2020,BSC01,AMLAK1,100,99.25,0.38
11/14/2020,BSC01,AMLAK2,100,76.05,0.13
11/14/2020,BSC01,AMLAK3,100,92.22,0.13
11/14/2020,BSC01,ASHLAK1,99.18,95.89,0.64
11/14/2020,BSC01,ASHLAK2,99.19,98.2,0.97
11/14/2020,BSC01,ASHLAK3,99.19,96.73,1.1
11/14/2020,BSC01,AZIZ1,100,99.3,0.25
11/14/2020,BSC01,AZIZ2,100,99.46,0.44
11/14/2020,BSC01,AZIZ3,100,92.33,1.47
11/14/2020,BSC01,BABORT1,98.07,97.93,0.77
11/14/2020,BSC01,BABORT2,98.07,98.3,1.51
11/14/2020,BSC01,BABORT3,98.07,96.86,1.81
11/14/2020,BSC01,BHRAWI1,100,99.36,0.28
11/14/2020,BSC01,BHRAWI2,100,99.4,0.23
11/14/2020,BSC01,BHRAWI3,100,99,0.23
11/14/2020,BSC01,CHURCH1,100,95.94,0.28
11/14/2020,BSC01,CHURCH2,100,98.55,0.27
11/14/2020,BSC01,CHURCH3,100,96.51,0.47
11/14/2020,BSC01,COPERC1,100,99.24,0.48
11/14/2020,BSC01,COPERC2,100,97.28,0.45
11/14/2020,BSC01,COPERC3,100,99.46,0.48
11/14/2020,BSC01,DAL1,100,98.94,0.22
11/14/2020,BSC01,DAL2,100,96.7,0.38
11/14/2020,BSC01,DAL3,100,97.24,0.11
11/14/2020,BSC01,ESHARA1,97.91,98.1,0.83
11/14/2020,BSC01,ESHARA2,97.89,97.4,0.56
11/14/2020,BSC01,ESHARA3,97.87,96.37,0.57
11/14/2020,BSC01,GADREA1,100,97.16,0.67
11/14/2020,BSC01,GADREA2,100,95,1.05
11/14/2020,BSC01,GASMHP1,78.63,99.27,0.18
11/14/2020,BSC01,GASMHP2,99.69,99.55,0.36
11/14/2020,BSC01,GASMHP3,99.65,97.67,0.63
11/14/2020,BSC01,GSHRA1,100,99.44,0.14
11/14/2020,BSC01,GSHRA2,100,99.6,0.2
11/14/2020,BSC01,GSHRA3,100,99.59,0.26
11/14/2020,BSC01,HAMAD1,100,99.09,0.11
11/14/2020,BSC01,HAMAD2,100,97.85,0.37
11/14/2020,BSC01,HAMAD3,100,97.14,0.55
11/14/2020,BSC01,HAMD1,100,98.6,0.23
11/14/2020,BSC01,HAMD2,100,97.24,0.08
11/14/2020,BSC01,HAMD3,100,92.81,0
11/14/2020,BSC01,HAMD4,100,96.67,0.47
11/14/2020,BSC01,HSPTL1,100,99.07,0.43
11/14/2020,BSC01,HSPTL2,100,99.46,0.15
11/14/2020,BSC01,HSPTL21,100,98.57,0.22
11/14/2020,BSC01,HSPTL22,100,99.08,0.19
11/14/2020,BSC01,HSPTL23,100,98.28,0.43
11/14/2020,BSC01,HSPTL3,100,98.5,0.2
11/14/2020,BSC01,INDST1,100,90.67,0.3
11/14/2020,BSC01,INDST2,100,94.75,1.82
11/14/2020,BSC01,INDST21,100,94.31,0.23
11/14/2020,BSC01,INDST22,100,96.28,0.3
11/14/2020,BSC01,INDST23,100,85.93,0.08
11/14/2020,BSC01,INDST3,100,93.73,0.28
11/14/2020,BSC01,KEMAIR1,100,91.78,0.35
11/14/2020,BSC01,KEMAIR2,100,91.71,0.21
11/14/2020,BSC01,KEMAIR3,100,94.55,0.33
11/14/2020,BSC01,KFORI1,100,97.28,0.66
11/14/2020,BSC01,KFORI2,100,96.23,0.81
11/14/2020,BSC01,KFORI21,100,97.52,0.44
11/14/2020,BSC01,KFORI22,100,93.07,0.99
11/14/2020,BSC01,KFORI23,100,98.86,0.35
11/14/2020,BSC01,KFORI3,100,97.67,0.48
11/14/2020,BSC01,KFORI31,100,95,1.46
11/14/2020,BSC01,KFORI32,100,98.13,0.47
11/14/2020,BSC01,KFORI33,100,98.55,0.35
11/14/2020,BSC01,KFORI91,100,97.77,0.2
11/14/2020,BSC01,KFORI92,100,97.45,0.47
11/14/2020,BSC01,KFORI93,100,97.94,0.67
11/14/2020,BSC01,KHTMIA1,100,99.23,0.47
11/14/2020,BSC01,KHTMIA2,100,96.85,2.02
11/14/2020,BSC01,KHTMIA3,100,98.11,0.75
11/14/2020,BSC01,KINDST1,100,99.19,0.28
11/14/2020,BSC01,KINDST2,100,97.69,0.27
11/14/2020,BSC01,KINDST3,100,94.92,0.66
11/14/2020,BSC01,KMICRO1,100,97.75,0.1
11/14/2020,BSC01,KMICRO2,100,97.88,0.15
11/14/2020,BSC01,KOBANI1,98.9,95.27,0.46
11/14/2020,BSC01,KOBANI2,98.89,96.55,0.38
11/14/2020,BSC01,KOBANI3,98.96,97.85,0.34
11/14/2020,BSC01,KOKO1,100,98.49,0.31
11/14/2020,BSC01,KOKO2,100,97.82,0.38
11/14/2020,BSC01,KOKO3,100,97.56,0.92
11/14/2020,BSC01,KOKO4,100,98.14,0.56
11/14/2020,BSC01,KOKOT1,100,98.86,0.34
11/14/2020,BSC01,KOKOT2,100,98.95,0.19
11/14/2020,BSC01,KOKOT3,100,99.4,0.2
11/14/2020,BSC01,KTNMRK1,99.2,99.62,0.21
11/14/2020,BSC01,KTNMRK2,93.22,99.45,0.24
11/14/2020,BSC01,KTNMRK3,99.13,99.14,0.22
11/14/2020,BSC01,MAZAD1,91.36,93.19,0.3
11/14/2020,BSC01,MAZAD2,91.36,98.34,0.13
11/14/2020,BSC01,MAZAD3,91.36,97.96,0.2
11/14/2020,BSC01,MHTWST1,100,98.8,0.41
11/14/2020,BSC01,MHTWST2,100,99.18,0.35
11/14/2020,BSC01,MHTWST3,100,98.73,0.22
11/14/2020,BSC01,MHTWST4,100,96.12,0.33
11/14/2020,BSC01,MOLED1,100,97.24,0.14
11/14/2020,BSC01,MOLED2,100,99.45,0.19
11/14/2020,BSC01,MOLED3,100,99.34,0.21
11/14/2020,BSC01,NORTH1,98.08,97.27,0.86
11/14/2020,BSC01,NORTH2,98.07,97.43,0.97
11/14/2020,BSC01,NORTH3,97.94,98.6,0.62
11/14/2020,BSC01,PZMAC1,100,99.14,0.31
11/14/2020,BSC01,PZMAC2,100,99.54,0.28
11/14/2020,BSC01,PZMAC3,100,99.4,0.2
11/14/2020,BSC01,SAFWA1,100,95.24,0.24
11/14/2020,BSC01,SAFWA2,100,98.09,0.3
11/14/2020,BSC01,SAFWA3,100,95.79,0.35
11/14/2020,BSC01,SBABY1,100,94.81,0.46
11/14/2020,BSC01,SBABY2,100,96.48,0.92
11/14/2020,BSC01,SBABY21,99.45,97.9,0.82
11/14/2020,BSC01,SBABY22,99.45,95.77,0.78
11/14/2020,BSC01,SBABY23,99.45,97.88,3.14
11/14/2020,BSC01,SBABY3,100,95.09,0.53
11/14/2020,BSC01,SHABEA1,100,99.18,0.34
11/14/2020,BSC01,SHABEA2,100,98.26,0.47
11/14/2020,BSC01,SHABEA3,100,98.55,0.13
11/14/2020,BSC01,SILDOR1,100,98.06,0.15
11/14/2020,BSC01,SILDOR2,100,88.81,0.15
11/14/2020,BSC01,SILDOR3,100,93.54,0.29
11/14/2020,BSC01,SKBHRI1,100,99.06,0.49
11/14/2020,BSC01,SKBHRI2,100,94.8,0.4
11/14/2020,BSC01,TAHRER1,100,99.34,0.24
11/14/2020,BSC01,TAHRER2,100,98.25,0.22
11/14/2020,BSC01,TAHRER3,100,99.15,0.54
11/14/2020,BSC01,WAHA1,98.67,98.83,0.59
11/14/2020,BSC01,WAHA2,98.66,99.22,0.41
11/14/2020,BSC01,WAHA3,98.63,98.5,0.54
11/14/2020,BSC01,WARSHA1,100,98.45,0.79
11/14/2020,BSC01,WARSHA2,100,98.86,0.31
11/14/2020,BSC01,WARSHA3,100,99.33,0.26
11/14/2020,BSC02,ALEZBA1,100,99.43,0.4
11/14/2020,BSC02,ALEZBA2,100,96.71,0.75
11/14/2020,BSC02,ALEZBA3,100,95.7,0.76
11/14/2020,BSC02,BASHA1,100,97.91,0.64
11/14/2020,BSC02,BASHA2,100,99.06,0.41
11/14/2020,BSC02,BASHA3,100,98.98,0.2
11/14/2020,BSC02,BLOLA1,100,97.79,0.38
11/14/2020,BSC02,BLOLA2,100,98.27,0.21
11/14/2020,BSC02,BLOLA3,100,97.54,0.57
11/14/2020,BSC02,BOGOR1,100,98.46,0.35
11/14/2020,BSC02,BOGOR2,100,98.56,0.58
11/14/2020,BSC02,BOGOR3,100,97.86,0.36
11/14/2020,BSC02,CRYSTL1,100,98.32,0.69
11/14/2020,BSC02,CRYSTL2,100,92.93,2.13
11/14/2020,BSC02,CRYSTL3,100,98.7,0.49
11/14/2020,BSC02,DARDOG1,99.35,93.02,0.95
11/14/2020,BSC02,DARDOG2,99.34,96.57,0.84
11/14/2020,BSC02,DARDOG3,99.35,96.74,0.66
11/14/2020,BSC02,DREWA1,97.75,97.82,1.46
11/14/2020,BSC02,DREWA2,97.71,97.02,1.71
11/14/2020,BSC02,DREWA3,97.71,97.78,1.31
11/14/2020,BSC02,DURSH1,100,98.9,0.51
11/14/2020,BSC02,DURSH2,100,99.19,0.31
11/14/2020,BSC02,DURSH3,100,99,0.3
11/14/2020,BSC02,DURSHN1,99.31,97.25,0.68
11/14/2020,BSC02,DURSHN2,99.39,98.67,0.48
11/14/2020,BSC02,DURSHN3,99.42,98.27,0.29
11/14/2020,BSC02,ELMKTR1,100,99.65,0.17
11/14/2020,BSC02,ELMKTR2,100,99.69,0.13
11/14/2020,BSC02,ELMKTR3,100,98.36,0.12
11/14/2020,BSC02,ERSAD1,99.36,92.6,1.34
11/14/2020,BSC02,ERSAD2,99.36,94.58,0.79
11/14/2020,BSC02,ERSAD3,99.36,95.42,0.51
11/14/2020,BSC02,ESHMBT1,100,97.1,1.12
11/14/2020,BSC02,ESHMBT2,100,98.73,0.38
11/14/2020,BSC02,ESHMBT3,100,97.4,0.47
11/14/2020,BSC02,EZBA1,100,98.13,0.4
11/14/2020,BSC02,EZBA2,100,97.16,1.29
11/14/2020,BSC02,EZBA3,100,96.76,0.4
11/14/2020,BSC02,EZRGAB1,83.85,98.57,0.84
11/14/2020,BSC02,EZRGAB2,97,94.57,1.08
11/14/2020,BSC02,EZRGAB3,96.52,94.37,1.58
11/14/2020,BSC02,GARRI1,100,98.88,1.67
11/14/2020,BSC02,GARRI2,100,94.55,2.25
11/14/2020,BSC02,GARRI3,100,98.23,1.88
11/14/2020,BSC02,GLAA1,100,99.38,0.42
11/14/2020,BSC02,GLAA2,100,98.37,0.55
11/14/2020,BSC02,GLAA3,100,98.86,0.48
11/14/2020,BSC02,HATAB1,99.52,98.29,0.57
11/14/2020,BSC02,HATAB2,99.52,98.19,0.61
11/14/2020,BSC02,HATAB3,99.52,96.64,0.6
11/14/2020,BSC02,HLFARM1,100,98.59,0.23
11/14/2020,BSC02,HLFARM2,100,96.91,1.17
11/14/2020,BSC02,HLFARM3,100,94.51,2.82
11/14/2020,BSC02,HLFIA1,97.02,99.24,0.47
11/14/2020,BSC02,HLFIA2,97.03,95.88,1.24
11/14/2020,BSC02,HLFIA3,97.02,96.8,1.41
11/14/2020,BSC02,HLFPLC1,100,96.54,0.71